product_id,nowtime,current_price,old_price,other,price_per_unit,product_description,vendor,product_name,units
116800,2024-04-26 09:20:00,4.99,NA,,0.01,Voila~Dempster's Whole Wheat Bread Texas Toast 675 g@675g^,Voila,Dempster's Whole Wheat Bread Texas Toast 675 g,675g
116800,2024-04-27 09:38:00,4.99,NA,,0.01,Voila~Dempster's Whole Wheat Bread Texas Toast 675 g@675g^,Voila,Dempster's Whole Wheat Bread Texas Toast 675 g,675g
116800,2024-04-28 10:00:00,4.99,NA,,0.01,Voila~Dempster's Whole Wheat Bread Texas Toast 675 g@675g^,Voila,Dempster's Whole Wheat Bread Texas Toast 675 g,675g
116800,2024-04-29 09:56:00,4.99,NA,,0.01,Voila~Dempster's Whole Wheat Bread Texas Toast 675 g@675g^,Voila,Dempster's Whole Wheat Bread Texas Toast 675 g,675g
116800,2024-04-30 07:54:00,4.99,NA,,0.01,Voila~Dempster's Whole Wheat Bread Texas Toast 675 g@675g^,Voila,Dempster's Whole Wheat Bread Texas Toast 675 g,675g
116800,2024-05-01 14:44:00,4.99,NA,,0.01,Voila~Dempster's Whole Wheat Bread Texas Toast 675 g@675g^,Voila,Dempster's Whole Wheat Bread Texas Toast 675 g,675g
116800,2024-05-02 11:37:00,4.99,NA,,0.01,Voila~Dempster's Whole Wheat Bread Texas Toast 675 g@675g^,Voila,Dempster's Whole Wheat Bread Texas Toast 675 g,675g
116800,2024-05-03 11:23:00,4.99,NA,,0.01,Voila~Dempster's Whole Wheat Bread Texas Toast 675 g@675g^,Voila,Dempster's Whole Wheat Bread Texas Toast 675 g,675g
1688554,2024-06-11 18:39:00,3.79,NA,,0.56,Loblaws~100% Whole Wheat Bread@675g^Dempster,Loblaws,100% Whole Wheat Bread,675g
1688554,2024-06-13 10:22:00,3.99,NA,$3.25 MIN 2,0.59,Loblaws~100% Whole Wheat Bread@675g^Dempster,Loblaws,100% Whole Wheat Bread,675g
1688554,2024-06-14 10:38:00,3.99,NA,$3.25 MIN 2,0.59,Loblaws~100% Whole Wheat Bread@675g^Dempster,Loblaws,100% Whole Wheat Bread,675g
1688554,2024-06-17 10:22:00,3.99,NA,$3.25 MIN 2,0.59,Loblaws~100% Whole Wheat Bread@675g^Dempster,Loblaws,100% Whole Wheat Bread,675g
1688554,2024-06-18 07:18:00,3.99,NA,$3.25 MIN 2,0.59,Loblaws~100% Whole Wheat Bread@675g^Dempster,Loblaws,100% Whole Wheat Bread,675g
1688554,2024-06-20 11:31:00,3.79,NA,,0.56,Loblaws~100% Whole Wheat Bread@675g^Dempster,Loblaws,100% Whole Wheat Bread,675g
1688554,2024-06-21 15:06:00,3.79,NA,,0.56,Loblaws~100% Whole Wheat Bread@675g^Dempster,Loblaws,100% Whole Wheat Bread,675g
1688554,2024-06-22 10:35:00,3.79,NA,,0.56,Loblaws~100% Whole Wheat Bread@675g^Dempster,Loblaws,100% Whole Wheat Bread,675g
1688554,2024-06-23 09:48:00,3.79,NA,,0.56,Loblaws~100% Whole Wheat Bread@675g^Dempster,Loblaws,100% Whole Wheat Bread,675g
1688554,2024-06-24 09:12:00,3.79,NA,,0.56,Loblaws~100% Whole Wheat Bread@675g^Dempster,Loblaws,100% Whole Wheat Bread,675g
1688554,2024-06-25 09:44:00,3.79,NA,,0.56,Loblaws~100% Whole Wheat Bread@675g^Dempster,Loblaws,100% Whole Wheat Bread,675g
1688554,2024-06-26 09:31:00,3.79,NA,,0.56,Loblaws~100% Whole Wheat Bread@675g^Dempster,Loblaws,100% Whole Wheat Bread,675g
1688554,2024-06-27 09:19:00,3.99,NA,$3.50 MIN 2,0.59,Loblaws~100% Whole Wheat Bread@675g^Dempster,Loblaws,100% Whole Wheat Bread,675g
1688554,2024-06-28 10:55:00,3.99,NA,$3.50 MIN 2,0.59,Loblaws~100% Whole Wheat Bread@675g^Dempster,Loblaws,100% Whole Wheat Bread,675g
1688554,2024-06-30 09:36:00,3.99,NA,$3.50 MIN 2,0.59,Loblaws~100% Whole Wheat Bread@675g^Dempster,Loblaws,100% Whole Wheat Bread,675g
1688554,2024-07-01 09:50:00,3.99,NA,$3.50 MIN 2,0.59,Loblaws~100% Whole Wheat Bread@675g^Dempster,Loblaws,100% Whole Wheat Bread,675g
1688554,2024-07-02 09:55:00,3.99,NA,$3.50 MIN 2,0.59,Loblaws~100% Whole Wheat Bread@675g^Dempster,Loblaws,100% Whole Wheat Bread,675g
